user_text,user_id,wikiproject,cos_sim,pos
Grandtheftauto1988,18754037,football,0.24695704579297598,14
Kingryan227,18720022,football,0.24680161608818355,15
Carolyn.monaco,12542822,football,0.24637063976214485,16
Castro13,16184553,football,0.24563090504108998,17
Lugubrious DBB,2111878,football,0.24458226853862669,18
Seththomas98,17997031,football,0.24287186373642228,19
Bsuwogltfam,18277091,football,0.24206795311010904,20
Daamoy,23683077,india,0.23618810093783471,1
Queenwe,16417705,india,0.22703206941758594,2
Elitre (WPS),21242558,india,0.21816793036175358,3
Huddo14,21356829,india,0.217109794319592,4
Jonathankwanhc,17597386,india,0.21522045599760573,5
LuLuDrops,21687715,india,0.21321856780855716,6
Tangotopaz,23965472,india,0.21228762905582821,7
Info.wpd,21342695,india,0.20995120329518624,8
Carolyn.monaco,12542822,india,0.20836905964701494,9
AlexMota300,23416893,india,0.20777842127483692,10
Humanrights4nz,14800183,india,0.20736994059677766,11
Bibliomachus,23633453,india,0.20680074274323476,12
Jacky Chi Wo Kwong,23127411,india,0.20378475703289334,13
Olickal Peter Thomas,25082014,india,0.20163132467001832,14
JanPodany,21044648,india,0.200708771305494,15
Aliciastockley,25017835,india,0.20014775978567245,16
81belle,17622279,india,0.20014775978567245,17
Imachrischan,24042586,india,0.19994564706214474,18
Nblund,20887371,india,0.1996412501630819,19
Abrahamic Faiths,18381293,india,0.19935844048366352,20
81belle,17622279,lgbt studies,0.24729359537493451,1
Aliciastockley,25017835,lgbt studies,0.24729359537493451,2
Elitre (WPS),21242558,lgbt studies,0.24224717856519018,3
Cheri Brown,17329824,lgbt studies,0.24203628989310716,4
Teranteran,16609669,lgbt studies,0.23853141957188889,5
Daamoy,23683077,lgbt studies,0.23720076175544583,6
Info.wpd,21342695,lgbt studies,0.22858232296458955,7
Queenwe,16417705,lgbt studies,0.22621802570763255,8
Mrwaugh,22839885,lgbt studies,0.225767030465509,9
Dr.aeon,25251677,lgbt studies,0.22452589903922995,10
Nadeembahoo,22410674,lgbt studies,0.22256743112035143,11
R2Mar,20876910,lgbt studies,0.22253703028580438,12
Super-gel,23371013,lgbt studies,0.22221856432259424,13
Drangmeistername,23550229,lgbt studies,0.22100706796579769,14
Plastelin,12632362,lgbt studies,0.22082866682603122,15
Abrahamic Faiths,18381293,lgbt studies,0.21871586185898795,16
Grandtheftauto1988,18754037,lgbt studies,0.21775131068030074,17
F&ME01,5892443,lgbt studies,0.21699338128363405,18
Tomahawk1221,8082842,lgbt studies,0.21682920753171905,19
LuLuDrops,21687715,lgbt studies,0.2168067233400118,20
Samuel Fux,19940385,mathematics,0.38461538461538464,1
Some1Redirects4You,24846913,mathematics,0.26295461860315417,2
Danchristensen,10425352,mathematics,0.25961538461538458,3
Zahlentheorie,1231409,mathematics,0.25000000000000006,4
RonnieBrown,417456,mathematics,0.24452303762648592,5
Darij,9540940,mathematics,0.24341570947905791,6
Ignacitum,14270064,mathematics,0.23916083916083913,7
Noix07,20004623,mathematics,0.23859768550034038,8
Nomen4Omen,12022193,mathematics,0.23253082795067528,9
He7d3r,5559148,mathematics,0.22885491655207743,10
Nsoum,19977087,mathematics,0.22649572649572647,11
Heavyweight Saturday,18321073,mathematics,0.21794871794871795,12
Enyokoyama,16945943,mathematics,0.21583166763384704,13
Crisófilax,93624,mathematics,0.21280232769594476,14
D.Lazard,12336988,mathematics,0.2122006198929276,15
Rschwieb,926666,mathematics,0.21003290494815921,16
Randomguess,15866305,mathematics,0.20293209876543211,17
Wcherowi,13428914,mathematics,0.2027617756692647,18
Tsirel,113936,mathematics,0.20207298269659074,19
Maimonid,18937843,mathematics,0.20053578262533486,20
In Vitro Infidelium,14069082,medicine,0.31251097048362514,1
Drcamachoent,18852785,medicine,0.30299685654618791,2
Aaronabend,1561149,medicine,0.30223486575341368,3
Matthew Ferguson 57,22380398,medicine,0.25788746189265815,4
Euroarti,21201616,medicine,0.25018387774173256,5
Lucas138,24046042,medicine,0.23521871679985221,6
AlphaAntares,23495317,medicine,0.22218911830672189,7
Little pob,4750390,medicine,0.21438381969144071,8
Ongmianli,20542202,medicine,0.21196335363560176,9
Mxdlvn,20713781,medicine,0.20189652106014772,10
Wouterstomp,126881,medicine,0.19975852253088525,11
Helaine (Wiki Ed),22694295,medicine,0.19921885024199218,12
HeartBD2K Jspolson,24470009,medicine,0.19879425724051919,13
HeartBD2K aogarlid,24044806,medicine,0.19185841642306145,14
Heartbd2k DavidLiem,25149564,medicine,0.18784602390080704,15
TylerDurden8823,16473280,medicine,0.1860803424064727,16
Diptanshu.D,6870537,medicine,0.18327890475589245,17
Spicherc,10753913,medicine,0.18194746959355024,18
WholeNewJourney,21611119,medicine,0.18188136290212781,19
Bakerstmd,3876183,medicine,0.1816964871446094,20
Daamoy,23683077,military history,0.26772900480031669,1
Queenwe,16417705,military history,0.25794635739937166,2
Huddo14,21356829,military history,0.24308213907624709,3
Vegamala,21117047,military history,0.23586080148890357,4
Imachrischan,24042586,military history,0.2292419979216811,5
Carolyn.monaco,12542822,military history,0.2292020722774189,6
Jonathankwanhc,17597386,military history,0.2273387317416905,7
LuLuDrops,21687715,military history,0.22533425745847765,8
Bibliomachus,23633453,military history,0.22457650463670509,9
Humanrights4nz,14800183,military history,0.22455404528157419,10
Nblund,20887371,military history,0.22322957391003115,11
Tangotopaz,23965472,military history,0.22321010689907805,12
Goldenflashes21,19545806,military history,0.21886707867687083,13
Tab1975,23862930,military history,0.21800385491906449,14
AlexMota300,23416893,military history,0.21772786572640129,15
Chase1493,15188920,military history,0.21606083550120264,16
Wilbur99,11697368,military history,0.21597686851305703,17
JanPodany,21044648,military history,0.21044961373378196,18
Yorksa10,17479844,military history,0.210426797861554,19
MFCMFC,12460900,military history,0.20611184049014269,20
Drangmeistername,23550229,national football league,0.47865238317031517,1
Tomahawk1221,8082842,national football league,0.37441272774196011,2
Gijimu,6483048,national football league,0.36260633077832782,3
Meowmeow99,24064372,national football league,0.35949735821716028,4
Bsuwogltfam,18277091,national football league,0.34569601549256879,5
Ldairlds8,24993626,national football league,0.34037498483605422,6
JohnRainbird,23114473,national football league,0.33858228734034634,7
Meleemaster428,22626169,national football league,0.33850036238271819,8
Grandtheftauto1988,18754037,national football league,0.33701047576652249,9
XdeLaTorre,12368534,national football league,0.33284947072612953,10
Thefro552,764596,national football league,0.33212011894424376,11
The infamousx,22638021,national football league,0.32028488590940074,12
Omallepj,25300101,national football league,0.31910158878021011,13
Rymax23,25117796,national football league,0.31775439331487587,14
Sparrowhawk8,12532488,national football league,0.317197235465054,15
Erik255,18210084,national football league,0.31295911782191643,16
Maurithus,15491111,national football league,0.31168204473548256,17
DawnBTVS,6049047,national football league,0.30846469726867726,18
Gnusny,19574330,national football league,0.30650620080638707,19
Frankm.russo,12673120,national football league,0.30365574890663033,20
Wheres.dot,24689089,national register of historic places,0.29601843482874673,1
Tortajtartej,24222952,national register of historic places,0.29601843482874673,2
Narspur,23852624,national register of historic places,0.29601843482874673,3
Hebue,12593651,national register of historic places,0.29286399309550815,4
Fabiorivavaldobbia,20584375,national register of historic places,0.27103398918890859,5
Janwillemvanaalst,10095688,national register of historic places,0.26644322578687685,6
Bytfisch,21737341,national register of historic places,0.26521385792938595,7
Airelor,17518106,national register of historic places,0.26236718406851889,8
Jimmarsmars,8369499,national register of historic places,0.26129459822225787,9
Pitambar Bhattarai,15139294,national register of historic places,0.259460245457953,10
Jahnjahnafricano,23101965,national register of historic places,0.25910743519432516,11
Carl the not so great,25195245,national register of historic places,0.25615012923138186,12
Pampuco,24020610,national register of historic places,0.25574908878000585,13
Nicu farcas,12582525,national register of historic places,0.25338801107976644,14
Parper,9553441,national register of historic places,0.25316747261018613,15
Johnnyf1nn,13995305,national register of historic places,0.25196944905835295,16
ILoveKorea,9699515,national register of historic places,0.24824643624490583,17
Janitoalevic,19861826,national register of historic places,0.24759821001210527,18
Francisdianish,18140313,national register of historic places,0.24719845797431869,19
Imthi nadubail,21071364,national register of historic places,0.24583410156984437,20
Daamoy,23683077,oregon,0.23422746118931534,1
Huddo14,21356829,oregon,0.23314799957360144,2
MFCMFC,12460900,oregon,0.23152880715003057,3
Narspur,23852624,oregon,0.22883015311074581,4
Wheres.dot,24689089,oregon,0.22883015311074581,5
Tortajtartej,24222952,oregon,0.22883015311074581,6
Queenwe,16417705,oregon,0.22844302810303138,7
Hebue,12593651,oregon,0.22676473833528765,8
Carl the not so great,25195245,oregon,0.22405913970597832,9
Coal town guy,16555343,oregon,0.22229476100468945,10
Tab1975,23862930,oregon,0.22145224573365563,11
Chillin662,10191654,oregon,0.2192585951769242,12
Jonathankwanhc,17597386,oregon,0.21697049961663931,13
Bibliomachus,23633453,oregon,0.21652631047425619,14
Jacky Chi Wo Kwong,23127411,oregon,0.21597968675735918,15
Airelor,17518106,oregon,0.21548664030303646,16
Pitambar Bhattarai,15139294,oregon,0.2144795420751307,17
Tangotopaz,23965472,oregon,0.21399583377036646,18
AlexMota300,23416893,oregon,0.21391414198720315,19
Parper,9553441,oregon,0.21330241275861433,20
Drangmeistername,23550229,professional wrestling,0.38093193443602286,1
Tomahawk1221,8082842,professional wrestling,0.31036011649180451,2
Gijimu,6483048,professional wrestling,0.30073021720522,3
Meowmeow99,24064372,professional wrestling,0.29676885999919689,4
Bsuwogltfam,18277091,professional wrestling,0.28863569738016054,5
Grandtheftauto1988,18754037,professional wrestling,0.2860925126996548,6
Ldairlds8,24993626,professional wrestling,0.28586732222360078,7
Meleemaster428,22626169,professional wrestling,0.28544945169733249,8
JohnRainbird,23114473,professional wrestling,0.28523520686459863,9
Thefro552,764596,professional wrestling,0.2783067140498629,10
Rymax23,25117796,professional wrestling,0.26843425710977892,11
XdeLaTorre,12368534,professional wrestling,0.26731456056850295,12
The infamousx,22638021,professional wrestling,0.26671885885006147,13
Sparrowhawk8,12532488,professional wrestling,0.26443058415216486,14
Maurithus,15491111,professional wrestling,0.26214146084317336,15
Frankm.russo,12673120,professional wrestling,0.25965883226357583,16
Dr.aeon,25251677,professional wrestling,0.259615210900511,17
Erik255,18210084,professional wrestling,0.25946769371982015,18
DawnBTVS,6049047,professional wrestling,0.25872318565530139,19
Kayne1212,21712504,professional wrestling,0.25777395757235477,20
Aliciastockley,25017835,television,0.31516845955167,1
81belle,17622279,television,0.31516845955167,2
Cheri Brown,17329824,television,0.29618370706958286,3
Teranteran,16609669,television,0.2835272054148581,4
Elitre (WPS),21242558,television,0.25750670652845525,5
F&ME01,5892443,television,0.25715767325975986,6
Mrwaugh,22839885,television,0.25539173377571545,7
Nadeembahoo,22410674,television,0.25280877854831962,8
Dr.aeon,25251677,television,0.252059311845619,9
Anotha1,19622211,television,0.24959031650208965,10
Smellcheck,24286561,television,0.24922707088965759,11
Sherya ghosal,20493706,television,0.24921013321567656,12
Akshay Kumar Wiki,22864088,television,0.24763665269408514,13
R2Mar,20876910,television,0.24691351662226715,14
Abhajaiprakash,15700009,television,0.2464551644691641,15
Plastelin,12632362,television,0.24543989237795641,16
Mat 1997,23650178,television,0.24508800892753962,17
Anjoepaul,22838374,television,0.24380378175286971,18
Nikitasaxena,21058032,television,0.24329288521655554,19
Lacour ferdinand octave,22182900,television,0.24131684709326864,20
Smuhavi,24058621,u.s. roads,0.25280695400217312,1
Heartbd2k DingWang,24880944,u.s. roads,0.250332005312085,2
J Doug McLean,2614871,u.s. roads,0.250332005312085,3
81belle,17622279,u.s. roads,0.25003018230109864,4
Aliciastockley,25017835,u.s. roads,0.25003018230109864,5
Alichtner,9676692,u.s. roads,0.24970092083456807,6
Ccrankk,13079241,u.s. roads,0.24963781238681637,7
FilipeBSilva,21156254,u.s. roads,0.24909453096704093,8
Rjowsey,12921031,u.s. roads,0.2395267415187734,9
Treichar,23190696,u.s. roads,0.23682935400795613,10
Ruigeroeland,1294969,u.s. roads,0.23578181209444654,11
Daniel-Brown,15355807,u.s. roads,0.23550342428926455,12
Adamekjiri,21349341,u.s. roads,0.23361641628871221,13
Mfm304,24517163,u.s. roads,0.22952346458322553,14
Gathr,11734134,u.s. roads,0.22900046007615726,15
Simuliid,9230619,u.s. roads,0.22376119359627775,16
Knoppson,10200771,u.s. roads,0.22194637428248437,17
Charlieb000,8984797,u.s. roads,0.2196991255756196,18
Guiding light,608343,u.s. roads,0.2189234656155295,19
J.H.McDonnell,5212359,u.s. roads,0.21652221836506724,20
Daamoy,23683077,united states,0.27359347564344649,1
Queenwe,16417705,united states,0.264307005789602,2
Huddo14,21356829,united states,0.25917728508798088,3
